City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Qaqortoq,GL,60.7167,-46.0333,6.24,76,77,8.84,broken clouds
292,Esperance,AU,-33.8667,121.9,74.95,65,17,16.17,few clouds
293,Sao Filipe,CV,14.8961,-24.4956,70.9,75,73,7.11,broken clouds
294,Bengkulu,ID,-3.8004,102.2655,84.18,64,52,6.73,broken clouds
295,Swiecie,PL,53.4095,18.4474,35.91,72,100,8.99,overcast clouds
296,Ossora,RU,59.2353,163.0719,-5.26,93,82,2.62,broken clouds
297,Castro,BR,-24.7911,-50.0119,57.02,99,100,4.21,overcast clouds
298,Siva,EG,29.2041,25.5195,50.58,73,0,3.69,clear sky
299,Fez,MA,34.0372,-4.9998,61.05,33,0,5.75,clear sky
300,Vila Velha,BR,-20.3297,-40.2925,73.35,97,75,3.44,broken clouds
301,Nova Olimpia,BR,-14.7972,-57.2881,69.13,90,90,3.58,overcast clouds
302,Plaeng Yao,TH,13.5847,101.284,93.49,100,70,10.8,broken clouds
303,Pevek,RU,69.7008,170.3133,-22.59,93,100,1.88,overcast clouds
304,Katherine,AU,-14.4667,132.2667,89.92,58,75,3.44,broken clouds
305,Plouzane,FR,48.3833,-4.6167,44.78,93,100,2.3,overcast clouds
306,Raga,SS,8.4596,25.678,66.0,23,76,4.61,broken clouds
307,Forestville,US,38.8451,-76.875,53.26,79,0,14.97,clear sky
308,Bulgan,MN,48.8125,103.5347,18.23,71,97,2.44,overcast clouds
309,Popondetta,PG,-8.7537,148.2534,85.84,67,61,5.57,broken clouds
310,Roma,US,43.2128,-75.4557,44.74,51,100,6.91,overcast clouds
311,Tumalaytay,PH,12.2758,123.232,83.1,73,50,9.04,scattered clouds
312,Tougan,BF,13.0667,-3.0667,69.1,15,27,8.9,scattered clouds
313,Alto Araguaia,BR,-17.3147,-53.2153,69.55,92,100,9.28,light rain
314,Gigmoto,PH,13.7796,124.39,82.54,77,85,11.01,overcast clouds
315,Hami,CN,42.8,93.45,40.95,16,29,6.06,scattered clouds
316,Ferme-Neuve,CA,46.7001,-75.4493,34.65,89,100,10.54,overcast clouds
317,Taltal,CL,-25.4,-70.4833,70.34,84,5,2.89,clear sky
318,Iwaki,JP,37.05,140.8833,45.01,43,1,4.0,clear sky
319,Codrington,AU,-38.2667,141.9667,70.29,58,15,11.1,few clouds
320,Kropotkin,RU,45.4375,40.5756,44.51,87,100,18.72,light rain
321,Lagunas,PE,-5.2269,-75.6753,69.94,98,98,3.36,overcast clouds
322,Atar,MR,20.5169,-13.0499,76.3,22,99,7.36,overcast clouds
323,Aden,YE,12.7794,45.0367,77.14,67,8,14.94,clear sky
324,Ponorogo,ID,-7.8685,111.462,87.31,63,35,7.38,scattered clouds
325,Warmbad,NA,-28.45,18.7333,58.01,71,15,12.53,few clouds
326,Marsa Matruh,EG,31.3525,27.2453,57.43,64,44,9.84,scattered clouds
327,Ceres,US,37.5949,-120.9577,51.57,70,0,0.0,clear sky
328,Ugoofaaru,MV,5.6667,73.0,80.85,68,68,8.1,broken clouds
329,Jiwani,PK,25.05,61.7417,74.57,64,3,17.9,clear sky
